id,first_name,last_name,email,major,semester
81,Doyle,Westerfield,DoyleWesterfield@haw-hamburg.de,Angewante Informatik,11
82,Daina,Grell,DainaGrell@haw-hamburg.de,Angewante Informatik,12
83,Janna,Barter,JannaBarter@haw-hamburg.de,Angewante Informatik,13
84,Ehtel,Hough,EhtelHough@haw-hamburg.de,Angewante Informatik,14
85,Holley,Leal,HolleyLeal@haw-hamburg.de,Angewante Informatik,1
86,Nereida,Hook,NereidaHook@haw-hamburg.de,Angewante Informatik,2
87,Mckenzie,Rosendahl,MckenzieRosendahl@haw-hamburg.de,Angewante Informatik,3
88,Anita,Seth,AnitaSeth@haw-hamburg.de,Angewante Informatik,4
89,Katie,Cataldo,KatieCataldo@haw-hamburg.de,Angewante Informatik,5
90,Mariano,Burns,MarianoBurns@haw-hamburg.de,Angewante Informatik,6
91,Maynard,Hegwood,MaynardHegwood@haw-hamburg.de,Angewante Informatik,7
92,Lucrecia,Haak,LucreciaHaak@haw-hamburg.de,Angewante Informatik,8
93,Bernardine,Priolo,BernardinePriolo@haw-hamburg.de,Angewante Informatik,9
94,Luann,Rae,LuannRae@haw-hamburg.de,Angewante Informatik,10
95,Wendolyn,Edens,WendolynEdens@haw-hamburg.de,Angewante Informatik,11
96,Amber,Flint,AmberFlint@haw-hamburg.de,Angewante Informatik,12
97,Janetta,Hazelrigg,JanettaHazelrigg@haw-hamburg.de,Angewante Informatik,13
98,Cindi,Gobble,CindiGobble@haw-hamburg.de,Angewante Informatik,14
99,Victor,Baumeister,VictorBaumeister@haw-hamburg.de,Angewante Informatik,1
100,Yasuko,Kernan,YasukoKernan@haw-hamburg.de,Angewante Informatik,2
